,Name,Mileage,Price,Dealer Name,Link
129,2017 Chevrolet Bolt EV LT,"40,059 mi.","$23,977",Ed Dena's Auto Center,/vehicledetail/bfc50f04-4db8-4aeb-b395-1ef9627059d5/
130,2019 Kia Stinger Base,"28,033 mi.","$30,590",Carvana-Touchless Delivery To Your Home-Reno,/vehicledetail/7521c9a5-89ea-4850-94c2-c9d502b70172/
131,2019 Kia Stinger GT,"36,892 mi.","$36,476",Keller Auto Group,/vehicledetail/4c47ba11-8c85-4568-8e4d-7e7ae012e241/
132,2015 Ford F-350 Lariat Super Duty,"18,114 mi.","$53,995",Carson City Toyota,/vehicledetail/69331102-bca8-4847-8b72-91586c7b9ef2/
133,2016 Jeep Grand Cherokee Limited,"119,236 mi.","$21,499",Stone Chevrolet Buick GMC,/vehicledetail/11f36758-336a-4a7f-9164-8553cce422a1/
134,2019 GMC Canyon SLE,"29,472 mi.","$32,279",Stone Chevrolet Buick GMC,/vehicledetail/28cbab04-5e88-4d0f-b449-6e5f8fd81f2b/
135,2017 Genesis G80 3.8,"50,390 mi.","$26,990",Carvana-Touchless Delivery To Your Home-Reno,/vehicledetail/a98f1a58-df15-4336-9320-d73e03895a68/
136,2015 Toyota Sequoia Platinum,"78,481 mi.","$40,998",CarMax Reno - Now offering Curbside Pickup,/vehicledetail/52c2c781-2eae-46f8-b781-f03d4aea215c/
137,2021 Toyota RAV4 Hybrid XSE,"9,640 mi.","$50,998",CarMax Reno - Now offering Curbside Pickup,/vehicledetail/f5b76800-48f4-4b92-936e-fac65d5265bb/
138,2020 Jeep Wrangler Unlimited Rubicon,"32,600 mi.","$45,998",CarMax Reno - Now offering Curbside Pickup,/vehicledetail/4d89c410-98f3-4c19-b094-44411194ab51/
139,2021 Mazda CX-5 Touring,"49,224 mi.","$25,995",Tom Dolan's Reno KIA,/vehicledetail/2ad341b3-bb57-453b-9a20-4c9f7ee3fc40/
140,2019 Lexus LX 570 ,"33,410 mi.","$73,997",Dolan Lexus,/vehicledetail/3fdf1d3c-e7bb-436c-b968-f8dfd1e3b891/
141,2018 Jaguar E-PACE S,"18,524 mi.","$35,497",Dolan Lexus,/vehicledetail/72babd04-aec9-4a52-9eb5-b87d448769c7/
142,2019 GMC Canyon All Terrain,"24,232 mi.","$38,989",Corwin Ford Reno,/vehicledetail/4efca865-2f08-447d-a0b2-3a867219f524/
143,2021 Hyundai Palisade Calligraphy,"24,278 mi.","$48,965",Corwin Ford Reno,/vehicledetail/dc4051c7-195c-4f0d-83c0-c5c860df13b0/
144,2018 Toyota Corolla iM Base,"24,314 mi.","$22,198",Corwin Ford Reno,/vehicledetail/95364eda-3306-4b2e-a874-22dc35c44df9/
145,2020 Tesla Model X Long Range,"29,465 mi.","$90,204",Corwin Ford Reno,/vehicledetail/47a94134-9cfa-466f-8f07-055226b02145/
