,Vehicle Name,Price,Mileage,Dealer Name,Link
93,2018 Mercedes-Benz S-Class S 560,"$49,997","77,927 mi.","
Reliable Auto Source
",http://www.cars.com/vehicledetail/a15363f5-a99d-4b9b-83f4-485a3d1f613c/
94,2021 Mercedes-Benz GLS 450 4MATIC,"$64,995","42,233 mi.","
Sacramento Chrysler Dodge Jeep Ram
",http://www.cars.com/vehicledetail/9bffa3da-39cf-4314-a30b-17eb10e6f1df/
95,2019 Porsche Cayenne E-Hybrid Base,"$70,995","28,641 mi.","
Sacramento Chrysler Dodge Jeep Ram
",http://www.cars.com/vehicledetail/ba078fba-d406-4173-8352-4ec29b732801/
96,2005 Chevrolet Corvette Base,"$26,999","65,000 mi.","
Posh Motors
",http://www.cars.com/vehicledetail/f46b1e62-df8c-4b97-827c-329eead0c7d7/
97,2021 Mercedes-Benz AMG GLA 35 Base,"$47,999","2,452 mi.","
Autobahn Motors
",http://www.cars.com/vehicledetail/b26c520b-2030-4bd7-bb08-f7bbbebc07e4/
98,2021 BMW 330e 330e,"$42,987","9,793 mi.","
BMW of Fairfield
",http://www.cars.com/vehicledetail/baa43cbf-88fe-4720-83c6-0a097bf917c4/
99,2022 Jeep Grand Cherokee L Limited,"$46,487","4,619 mi.","
BMW of Fairfield
",http://www.cars.com/vehicledetail/35a4ea54-0cad-481a-8b43-e79a05f0dfed/
100,2021 Dodge Charger R/T,"$38,950","11,468 mi.","
Future Chrysler Dodge Jeep Ram of Fairfield
",http://www.cars.com/vehicledetail/265bf83c-3287-4914-8f5e-df6f9b541418/
101,2019 Genesis G70 2.0T Advanced,"$35,950","1,808 mi.","
Future Chrysler Dodge Jeep Ram of Fairfield
",http://www.cars.com/vehicledetail/21e40559-b474-4df6-a93e-9a3e48ad9831/
102,2019 Mazda CX-9 Grand Touring,"$31,000","20,354 mi.","
Sunwise Fairfield Preowned Superstore
",http://www.cars.com/vehicledetail/6bf9c50d-b975-4741-86d2-f6b078c26d36/
103,2019 BMW M4 Base,"$65,000","12,767 mi.","
Sunwise Fairfield Preowned Superstore
",http://www.cars.com/vehicledetail/e0d35399-f186-4998-b41f-45d1d213d7e1/
104,2021 GMC Yukon Denali,"$72,590","19,221 mi.","
BMW of Idaho Falls
",http://www.cars.com/vehicledetail/ca1dfd61-a0ec-4505-8de5-a0b8c0067fcd/
105,2022 Ford Bronco Raptor,"$115,000",729 mi.,"
North Bay Ford
",http://www.cars.com/vehicledetail/2451d5cf-e141-4e0f-99b3-9f87662131c5/
106,2008 Hummer H3 ,"$10,988","156,149 mi.","
Roseville Automaxx
",http://www.cars.com/vehicledetail/757191a2-774f-4607-86bf-4ed507858390/
107,2009 Honda Pilot Touring,"$9,795","161,215 mi.","
Armani Motors
",http://www.cars.com/vehicledetail/8d314cd9-3229-4ae9-9e94-aa08cbded193/
108,2014 Maserati Quattroporte GTS,"$29,495","55,559 mi.","
Armani Motors
",http://www.cars.com/vehicledetail/fc4ab5da-05bc-40ab-b015-2812381bb850/
109,2022 INFINITI Q50 RED SPORT 400,"$54,500","9,520 mi.","
INFINITI ROSEVILLE
",http://www.cars.com/vehicledetail/3050f153-1bb0-4266-82ed-69b2e3ede4e3/
110,2022 BMW 540 i xDrive,"$60,488","2,764 mi.","
AutoNation Chrysler Dodge Jeep Ram Roseville
",http://www.cars.com/vehicledetail/30154038-b3c9-49a5-acf8-a46a06d3e7e1/
111,2022 Jeep Grand Cherokee L Laredo,"$48,955","7,174 mi.","
AutoNation Chrysler Dodge Jeep Ram Roseville
",http://www.cars.com/vehicledetail/05d9c386-01c0-4e8b-ab44-4a04cee1e96f/
112,2019 BMW M850 i xDrive,"$72,988","13,885 mi.","
BMW of Roseville
",http://www.cars.com/vehicledetail/62a596f5-fbe1-4d35-a2b4-42edb7ab8cb4/
113,2019 Mercedes-Benz AMG GLC 43 4MATIC Coupe,"$56,418","11,035 mi.","
BMW of Roseville
",http://www.cars.com/vehicledetail/6183e329-807f-49b4-9908-3895f31ad753/
114,2017 MINI Countryman Cooper ALL4,"$30,999","32,741 mi.","
Roseville Toyota
",http://www.cars.com/vehicledetail/039bf83e-531e-40eb-8e6a-05a19a5e6ee3/
115,2021 GMC Acadia SLE,"$34,998","25,103 mi.","
CarMax Sacramento/Roseville - Now offering Curbside Pickup and Home Delivery
",http://www.cars.com/vehicledetail/7dc2b790-a7e4-4e6c-940b-a23eed04bb53/
116,2018 Land Rover Range Rover Velar P250 S,"$36,995","40,748 mi.","
Putnam Volvo Cars Mazda Subaru Dodge Jeep Chrysler RAM Nissan
",http://www.cars.com/vehicledetail/5948a772-337d-44e9-a252-dd9935d6dcbe/
117,2018 Dodge Charger SRT Hellcat,"$66,998","7,326 mi.","
YC Auto Group Richmond
",http://www.cars.com/vehicledetail/251c218c-5deb-45a6-b772-790d16a5d154/
118,2012 Mazda Mazda5 Grand Touring,"$11,995","139,066 mi.","
Hayes Auto Sales
",http://www.cars.com/vehicledetail/6d108aeb-f768-4002-8cc3-dd1480b9cb73/
119,2007 Hummer H3 ,"$10,995","143,313 mi.","
Hayes Auto Sales
",http://www.cars.com/vehicledetail/510708dc-c7bb-41b1-8a91-0a9f831074a2/
